Grup taxonòmic,Nom científic,Autors,Sinònims,Protecció europea,Protecció estatal,Protecció catalana,Àmbit territorial de protecció catalana,Protecció estricta-PEIN,Protecció de l’explotació,Protecció de fanerògames marines,Protecció pel Conveni de Berna,Protecció pel Conveni Barcelona
Líquens,Seirophora lacunosa,Seirophora lacunosa (Rupr.) Frödén,Basiònim: Ramalina lacunosa Rupr. Sinònims: Seirophora lacunosa (Rupr.) Frödén; Teloschistes lacunosus (P. Rupr.) Savicz,No inclosa,Vulnerable,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Serapias perezchiscanoi,Serapias perezchiscanoi  Acedo,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Seseli farrenyi,Seseli farrenyi  Molero & Pujadas,[S. elatum  subsp. farrenyi  (Molero & Pujadas) O. Bolòs & Vigo],No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Sideritis fruticulosa subsp. cavanillesii,"Sideritis fruticulosa  subsp. cavanillesii  (Lag.) R. Roselló, P.P. Ferrer & J.B. Peris",[S. cavanillesii Lag.; S. scordioides  subsp. cavanillesii  (Lag.) Nyman],No inclosa,No inclosa,No inclosa,No aplica,Alfés,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silaum silaus,Silaum silaus  (L.) Schinz & Thell.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene legionensis,Silene legionensis  Lag.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene neglecta,Silene neglecta  Ten.,[S. nocturna  subsp. neglecta  (Ten.) Arcang.],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene ramosissima,Silene ramosissima  Desf.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene sclerocarpa,Silene sclerocarpa  Dufour,[S. cerastoides  auct.],No inclosa,No inclosa,No inclosa,No aplica,Illes Medes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene sedoides,Silene sedoides  Poir.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Silene sennenii,Silene sennenii  Pau,[S. italica  subsp. sennenii  (Pau) O. Bolòs & Vigo],No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Simethis mattiazzi,Simethis mattiazzi  (Vand.) Sacc.,[S. planifolia  (L.) Gren. & Godr.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Sonchus crassifolius,Sonchus crassifolius  Willd.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Sparganium emersum subsp. emersum,Sparganium emersum  Rehmann subsp. emersum,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Spartina juncea,Spartina juncea (Michx.) Willd.,"Treballs recents indiquen que Spartina versicolor (Spartina juncea subsp. versicolor, l’única existent a Catalunya i a la qual es refereix l’Annex 3) és amb tota probabilitat una planta americana introduïda a Europa.",No inclosa,No inclosa,No inclosa,No aplica,Delta del Llobregat,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Sphaerophorus globosus,Sphaerophorus globosus (Huds.) Vain.,"Basiònim: Lichen globosus Huds. Sinònims: Coralloides globiferum (L.) Hoffm.; Lichen globiferus L.; Sphaerophorus coralloides Pers.; Sphaerophorus coralloides var. laxus Turner & Borrer; Sphaerophorus globiferus (L.) DC., in Lamarck & de Candolle; Sphaerophorus globosus f. congestus H. Magn.; Stereocaulon globiferum (L.) Hoffm.; Sphaerophorus coralloides Pers.",No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum centrale,Sphagnum centrale C.E.O.Jensen,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,En perill d'extinció,Tot Catalunya,Sphagnum sp. a les capçalera de la Noguera Ribagorçana| capçaleres de la Noguera de Vallferrera i la Noguera de Cardós| massís del Montseny i Naut Aran,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum divinum,Sphagnum divinum Flatberg & K.Hassel,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum fuscum,Sphagnum fuscum (Schimp.) H.Klinggr.,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,En perill d'extinció,Tot Catalunya,Sphagnum sp. a les capçalera de la Noguera Ribagorçana| capçaleres de la Noguera de Vallferrera i la Noguera de Cardós| massís del Montseny i Naut Aran,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum medium,Sphagnum medium Limpr.,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,Vulnerable,Tot Catalunya,Sphagnum sp. a les capçalera de la Noguera Ribagorçana| capçaleres de la Noguera de Vallferrera i la Noguera de Cardós| massís del Montseny i Naut Aran,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum spp.,Sphagnum spp.,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,No inclosa,No aplica,Capçalera de la Noguera Ribagorçana| capçaleres de la Noguera de Vallferrera i la Noguera de Cardós| massís del Montseny| Naut Aran,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Sphagnum subnitens,Sphagnum subnitens Russow et Warnst.,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,No inclosa,No aplica,Massís de Cadiretes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Spiraea crenata subsp. parvifolia,Spiraea crenata  subsp. parvifolia  (Pau) Romo,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Spiranthes aestivalis,Spiranthes aestivalis  (Poir.) Rich.,No aplica,"Annex IV, protecció estricta",Protecció especial,No inclosa,No aplica,No inclosa,No inclosa,No inclosa,Inclosa,No inclosa
Espermatòfits,Stachys maritima,Stachys maritima  Gouan,No aplica,No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Sternbergia colchiciflora,Sternbergia colchiciflora  Waldst. & Kit.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Sticta limbata,Sticta limbata (Sm.) Ach.,Basiònim: Lichen limbatus Sm. Sinònims: Stictina limbata (Sm.) Nyl.,No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Stipa capillata,Stipa capillata L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Tossals d'Isòvol i Olopte,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Stipellula parviflora,Stipellula parviflora (Desf.) Röser & Hamasha,[Stipa parviflora Desf.],No inclosa,No inclosa,No inclosa,No aplica,Utxesa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Stuckenia filiformis,Stuckenia filiformis  (Pers.) Börner,[Potamogeton filiformis  Pers.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Subularia aquatica subsp. aquatica,Subularia aquatica  L. subsp. aquatica,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Succowia balearica,Succowia balearica  (L.) Medik.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Suillus flavidus,Suillus flavidus (Fr.) J. Presl,[Boletopsis flavidus (Fr.) Henn.; B. pulchella (Fr.) Henn.; Boletus flavidus Fr.; B. pulchellus Fr.; Ixocomus flavidus (Fr.) Quél.,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Tamarix boveana,Tamarix boveana  Bunge,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Taraxacum vinosum,Taraxacum vinosum  Soest,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Taxus baccata,Taxus baccata L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,No inclosa,"Ordre de 28 d'octubre de 1986, per la qual es regula el verd ornamental nadalenc i es protegeix el boix grèvol.",No inclosa,No inclosa,No inclosa
Briòfits,Tayloria froelichiana,Tayloria froelichiana (Hedw.) Mitt. ex Broth.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Tayloria tenuis,Tayloria tenuis (Dicks.) Schimp.,[Tayloria serrata var. tenuis (Dicks. ex With.) Bruch & Schimp.)],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Tetraena alba,Tetraena alba  (L. fil.) Beier & Thulin,[Zygophyllum album  L. fil.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Teucrium aragonense,Teucrium aragonense  Loscos & J. Pardo,[T. polium  subsp. aragonense  (Loscos & J. Pardo) Rivas Goday & Borja],No inclosa,No inclosa,No inclosa,No aplica,Tossals d'Almatret,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Teucrium campanulatum,Teucrium campanulatum  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Thalictrum foetidum subsp. foetidum,Thalictrum foetidum  L. subsp. foetidum,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Thalictrum maritimum,Thalictrum maritimum  Léon Dufour,"[Th. morisonii  subsp. maritimum  (Léon Dufour) O. Bolòs, Vigo, Masalles & Ninot]",No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Thelypteris palustris,Thelypteris palustris  Schott,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Thymelaea nivalis,Thymelaea nivalis  (Ramond) Meissn.,[Th. tinctoria  (Pourr.) Endl. subsp. nivalis  (Ramond) Nyman],No inclosa,No inclosa,No inclosa,No aplica,Serra de Boumort,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Thymus loscosii,Thymus loscosii  Willk.,No aplica,No inclosa,Protecció especial,No inclosa,No aplica,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Thymus willkommii,Thymus willkommii  Ronniger,[Th. serpyllum  subsp. willkommii  (Ronniger) Font Quer],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Timmia megapolitana,Timmia megapolitana Hedw.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Tortula sp.,Tortula sp.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Vall del riu Llobregós,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Tricholoma colossus,Tricholoma colossus (Fr.) Quél.,[Agaricus colossus Fr.; Armillaria colossus (Fr.) Boud.; Gyrophila colossus (Fr.) Quél.; Megatricholoma colossus (Fr.) G. Kost],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Trifolium diffusum,Trifolium diffusum  Ehrh.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Triglochin barrelieri,Triglochin barrelieri  Loisel.,[T. bulbosum  L. subsp. barrelieri  (Loisel.) Rouy],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Trigonella polyceratia,Trigonella polyceratia,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Erms d'Aitona,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Tritomaria scitula,Tritomaria scitula (Taylor) Jörg.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Tylopilus felleus,Tylopilus felleus (Bull.) P. Karst.,[Boletus alutarius Fr.; B. felleus Bull.; Tylopilus alutarius (Fr.) Henn.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Utricularia australis,Utricularia australis  R. Br.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Utricularia minor,Utricularia minor  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Vaccinium vitis-idaea subsp. vitis-idaea,Vaccinium vitis-idaea  L. subsp. vitis-idaea,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Valeriana longiflora subsp. paui,Valeriana longiflora  Willk. subsp. paui  (Cámara) P. Monts.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Vella aspera,Vella aspera  Pers.,[Boleum asperum  (Pers.) Desv.],"Annex II, requereix zones especials de conservació",Protecció especial,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,Inclosa,No inclosa
Espermatòfits,Verbena supina,Verbena supina  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Algues marines bentòniques,Verlaquea lacerata,Verlaquea lacerata (Feldmann) Le Gall & Vergés,[Kallymenia lacerata Feldmann],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
