Grup taxonòmic,Nom científic,Autors,Sinònims,Protecció europea,Protecció estatal,Protecció catalana,Àmbit territorial de protecció catalana,Protecció estricta-PEIN,Protecció de l’explotació,Protecció de fanerògames marines,Protecció pel Conveni de Berna,Protecció pel Conveni Barcelona
Líquens,Acarospora nodulosa,Acarospora nodulosa (Dufour) Hue,Basiònim: Acarospora reagens Zahlbr.,No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Acaulon casasianum,Acaulon casasianum Brugués & H.A.Crum,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Acaulon fontiquerianum,Acaulon fontiquerianum Casas & Sérgio,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Achillea maritima,Achillea maritima  (L.) Ehrend. & Y.-P. Guo,[Otanthus maritimus  (L.) Hoffmanns. & Link],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aconitum lycoctomum,Aconitum lycoctomum  L.,"[A. vulparia  subsp. ranunculifolium  (Rchb.) M. Laínz; A. pyrenaicum  subsp. lamarckii
(Rchb.) O. Bolòs & Vigo]",No inclosa,No inclosa,No inclosa,No aplica,Zona volcànica de la Garrotxa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adenocarpus telonensis,Adenocarpus telonensis (Loisel.) DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Gavarres| Roques Blanques,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adonis pyrenaica,Adonis pyrenaica DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serres de Cadí-Moixeró,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adonis vernalis,Adonis vernalis L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Tossals d'Isòvol i Olopte,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aira praecox,Aira praecox L.,No aplica,No inclosa,No inclosa,Vulnerable,Protegides les poblacions fora de la Val d'Aran,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Airopsis tenella,Airopsis tenella (Cav.)  Coss. & Durieu,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aizoanthemopsis hispanicum,Aizoanthemopsis hispanicum  (L.) Klak,[Aizoon hispanicum  L.],No inclosa,No inclosa,No inclosa,No aplica,Tossals de Montmeneu,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla catalaunica,Alchemilla catalaunica  Rothm.,"[A. alpina  subsp. catalaunica  (Rothm.) O. Bolòs & Vigo; A. alpina  auct., p.p.; A. plicatula  auct., p.p.]",No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla pentaphyllea,Alchemilla pentaphyllea  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla pyrenaica,Alchemilla pyrenaica  Dufour,"Aquest nom és incert, perquè ha estat aplicat a més d’una Alchemila, però suposem que es referia a Alchemilla borderei.",No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla tenerrima,Alchemilla tenerrima  S.E. Fröhner,"[A. subsericea  auct., non Reut.]",No inclosa,No inclosa,No inclosa,No aplica,Capçaleres del Ter i del Freser,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Allium pyrenaicum,Allium pyrenaicum  Costa & Vayreda,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alyssum serpyllifolium,Alyssum serpyllifolium  Desf.,[A. alpestre  subsp. serpyllifolium  (Desf.) Rouy & Foucaud],No inclosa,No inclosa,No inclosa,No aplica,Serra d'Aubenç,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anacamptis palustris subsp. palustris,"Anacamptis palustris  (Jacq.) R.M. Bateman, Pridgeon & M.W. Chase subsp. palustris",[Orchis laxiflora  subsp. palustris  (Jacq.) Bonnier & Layens] també Orchis palustris?,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Androsace ciliata,Androsace ciliata DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anemone nemorosa,Anemone nemorosa L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Ribera de Santa Coloma,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anemone palmata,Anemone palmata  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anemone ranunculoides,Anemone ranunculoides L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Ribera de Santa Coloma,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anthemis alpestris,Anthemis alpestris  (Hoffmanns. & Link) R. Fern.,[A. cretica  subsp. chrysocephala  (Boiss.) O. Bolòs & Vigo],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Anthericum ramosum,Anthericum ramosum  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Antirrhinum pertegasii,Antirrhinum pertegasii  Rothm.,[A. sempervirens  Lapeyr. subsp. pertegasii  (Rothm.) O. Bolòs],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aquilegia paui,Aquilegia paui  Font Quer,[A. vulgaris  subsp. paui  (Font Quer) O. Bolòs & Vigo],No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aquilegia pyrenaica,Aquilegia pyrenaica DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serra de Boumort,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aquilegia viscosa subsp. montsicciana,Aquilegia viscosa  subsp. montsicciana  (Font Quer) O. Bolòs & Vigo,[A. montsicciana],No inclosa,No inclosa,No inclosa,No aplica,Serra del Montsec,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arabis nova subsp. iberica,Arabis nova  Vill. subsp. iberica  Talavera,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arabis soyeri subsp. soyeri,Arabis soyeri  Reut. & Huet subsp. soyeri,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arctous alpina,Arctous alpina  (L.) Nied.,[Arctostaphylos alpina (L.) Spreng.],No inclosa,No inclosa,No inclosa,No aplica,Marimanha,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arenaria conimbricensis subsp. viridis,Arenaria conimbricensis  subsp. viridis  (Font Quer) Font Quer,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,Sant Llorenç de Munt i l'Obac,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arenaria fontqueri subsp. cavanillesiana,Arenaria fontqueri  subsp. cavanillesiana  (Font Quer) Cardona & J.M. Monts.,[A. modesta  var. cavanillesiana (Font Quer) O. Bolòs & Vigo],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arenaria purpurascens,Arenaria purpurascens DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arisarum simorrhinum,Arisarum simorrhinum  Durieu,[A. vulgare  subsp. simorrhinum  (Durieu) Maire & Weller],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Armeria fontqueri,Armeria fontqueri  Pau,[A. maritima  var. fontqueri  (Pau) Bernis],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Armeria ruscinonensis subsp. ruscinonensis,Armeria ruscinonensis  Girard subsp. ruscinonensis,[A.  alliacea  subsp. ruscinonensis  (Girard) O. Bolòs & Vigo],No inclosa,No inclosa,No inclosa,No aplica,Cap de Creus| illes Medes| massís de l'Albera,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Armeria ruscinonensis subsp. littorifuga,Armeria ruscinonensis  subsp. littorifuga  (Bernis) Malag.,[A.  alliacea  var. littorifuga  (Bernis) O. Bolòs & Vigo],No inclosa,No inclosa,No inclosa,No aplica,Cap de Creus| illes Medes| massís de l'Albera,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Arnica montana,Arnica montana L.,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,No inclosa,No aplica,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Artemisia eriantha,Artemisia eriantha Tem,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,No inclosa,No aplica,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Aschisma cuynetii,Aschisma cuynetii (Bizot & R.B.Pierrot) J.Guerra & M.J.Cano,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Asparagus stipularis,Asparagus stipularis  Forssk.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serra de Montsià,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Asphodelus ramosus subsp. ramosus,Asphodelus ramosus  L. subsp. ramosus,"[A. aestivus  auct., non Brot.]",No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium inexpectans,Asplenium inexpectans  (Lovis) Landolt,[A. trichomanes  L. subsp. inexpectans  Lovis],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium majoricum,Asplenium majoricum  Litard.,[A. petrarchae  subsp. majoricum  (Litard.) O. Bolòs & Vigo],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium marinum,Asplenium marinum  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium obovatum subsp. obovatum,Asplenium obovatum  Viv. subsp. obovatum,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium sagittatum,Asplenium sagittatum  (DC.) A.J. Bange,[Phyllitis sagittata  (DC.) Guinea & Heywood],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Asplenium seelosii subsp. catalaunicum,Asplenium seelosii  subsp. catalaunicum  (O. Bolòs & Vigo) P. Monts.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus alopecuroides  subsp. alopecuroides,Astragalus alopecuroides  L. subsp. alopecuroides,Citada com Astragalus narbonensis,No inclosa,No inclosa,No inclosa,No aplica,Tossals de Montmeneu,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus austriacus,Astragalus austriacus  Jacq.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus danicus,Astragalus danicus  Retz.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serra de Boumort,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus penduliflorus,Astragalus penduliflorus  Lam.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus tragacantha,Astragalus tragacantha  L.,[A. massiliensis  (Mill.) Lam.],No inclosa,No inclosa,No inclosa,No aplica,Cap de Creus| illes Medes| el Montgrí,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Astragalus turolensis,Astragalus turolensis  Pau,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Tossals de Montmeneu| Utxesa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Atropa baetica,Atropa baetica  Willk.,No aplica,"Annex II, requereix zones especials de conservació",En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,Inclosa,No inclosa
Espermatòfits,Berberis garciae,Berberis garciae  Pau,[B. vulgaris  L. subsp. seroi  O. Bolòs & Vigo],No inclosa,No inclosa,Vulnerable,Protegida al sud de la depressió central (Montsant i els Ports).,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Bergia aquatica,Bergia aquatica Roxb.,"És una planta introduïda d’origen paleotropical, que apareix sobretot com a mala herba dels camps d’arròs.",No inclosa,No inclosa,No inclosa,No aplica,Delta de l'Ebre,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Bidens cernuus,Bidens cernuus  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Blitum petiolare,Blitum petiolare  Link,[Chenopodium exsuccum  (Loscos) Uotila],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Bombycilaena discolor,Bombycilaena discolor  (Pers.) M. Laínz,[Micropus discolor  Pers.],No inclosa,No inclosa,No inclosa,No aplica,Tossals de Torregrossa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Botrychium matricariifolium,Botrychium matricariifolium  (Retz.) Koch,No aplica,No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,Inclosa,No inclosa
Espermatòfits,Brassica repanda subsp. cadevallii,Brassica repanda  (Willd.) DC. subsp. cadevallii  (Font Quer) Heywood,[B. repanda  subsp. humilis  (DC.) O. Bolòs & Vigo],No inclosa,No inclosa,No inclosa,No aplica,Serra del Montsec,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Bryoerythrophyllum inaequalifolium,Bryoerythrophyllum inaequalifolium (Taylor) R.H.Zander,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,Capçaleres del Ter i del Freser,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Buchwaldoboletus lignicola,Buchwaldoboletus lignicola (Kallenb.) Pilát,[Boletus lignicola Kallenb.; Gyrodon lignicola (Kallenb.) Heinem.; Phlebopus lignicola (Kallenb.) M. M. Moser; Pulveroboletus lignicola (Kallenb.) E. A. Dick & Snell; Xerocomus lignicola (Kallenb.) Singer],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Bunium bulbocastanum,Bunium bulbocastanum  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Butomus umbellatus,Butomus umbellatus  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Buxbaumia aphylla,Buxbaumia aphylla Hedw.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Buxbaumia viridis,Buxbaumia viridis (Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.,No aplica,"Annex II, requereix zones especials de conservació",Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Callipeltis cucullaris,Callipeltis cucullaris  (L.) Steven,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Caloscypha fulgens,Caloscypha fulgens (Pers.) Boud.,[Barlaea fulgens (Pers.) Rehm; Lamprospora fulgens (Pers.) Snyder; Otidella fulgens (Pers.) Sacc.; Peziza fulgens Pers.; Pseudoplectania fulgens (Pers.) Fuckel],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Campanula andorrana,Campanula andorrana  Braun-Blanq.,[C. jaubertiana  subsp. andorrana  (Braun-Blanq.) P. Monts.; C. cochleariifolia  subsp. andorrana  (Braun-Blanq.) O. Bolòs & Vigo],No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes| serres de Cadí-Moixeró,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Campanula speciosa,Campanula speciosa  Pourr.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Ports de Tortosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Campanula speciosa,Campanula speciosa  Pourr.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Massís del Garraf| Montserrat,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Campyliadelphus elodes,Campyliadelphus elodes (Lindb.) Kanda,[Campylium elodes (Lindb.) Kindb.)],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Cantharellus melanoxeros,Cantharellus melanoxeros Desm.,[Craterellus melanoxeros (Desm.) Pérez-De-Greg.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cardamine parviflora,Cardamine parviflora  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex brachystachys,Carex brachystachys  Schrank,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex brevicollis,Carex brevicollis  DC.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex diandra,Carex diandra  Schrank,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex elata subsp. elata,Carex elata  All. subsp. elata,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex lachenalii,Carex lachenalii  Schkuhr subsp. lachenalii,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex lasiocarpa,Carex lasiocarpa  Ehrh.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex limosa,Carex limosa  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex macrostyla,Carex macrostyla  Lapeyr.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Capçaleres de la Noguera de Vallferrera i la Noguera de Cardós,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex remota,Carex remota L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Ribera de la Garona,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Carex vesicaria,Carex vesicaria L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Catoscopium nigritum,Catoscopium nigritum (Hedw.) Brid.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cenchrus incertus,Cenchrus incertus M.A.Curtis,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Delta del Llobregat,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurea emigrantis,Centaurea emigrantis  Bubani,[C. uniflora  subsp. emigrantis  (Bubani) Font Quer],No inclosa,No inclosa,No inclosa,No aplica,Serra del Montsec,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurea hanryi,Centaurea hanryi  Jord.,"[C. paniculata  L. subsp. hanryi  (Jord.) Rouy; C. isernii  Willk.; C. spinabadia  Timb.-Lagr.;
C. cadevallii  Pau]",No inclosa,No inclosa,No inclosa,No aplica,Massís de l'Albera,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurea linifolia,Centaurea linifolia L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Massís del Garraf,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurea seridis,Centaurea seridis  L.,[C. seridis  subsp. maritima  (Dufour) Dostál],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurea tripontina,"Centaurea tripontina  López-Alvarado, L. Sáez, Filigheddu, Guardiola & Susanna",No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Centaurium quadrifolium subsp. parviflorum,Centaurium quadrifolium  subsp. parviflorum  (Willk.) Pedrol,[C. favargeri  Zeltner],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Ceratophyllum submersum,Ceratophyllum submersum  L.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cerinthe glabra subsp. glabra,Cerinthe glabra  Mill. subsp. glabra,No aplica,No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Chaenorhinum reyesii,Chaenorhinum reyesii  (C. Vicioso & Pau) Benedí,"[Ch. rubrifolium  subsp. reyesii  (C. Vicioso & Pau) O. Bolòs, Vigo, Masalles & Ninot]",No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Chamaerops humilis,Chamaerops humilis  L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,No inclosa,"Ordre de 5 de novembre de 1984, sobre protecció de plantes de la flora autòctona amenaçada a Catalunya.",No inclosa,No inclosa,No inclosa
Fongs,Chlorophyllum agaricoides,Chlorophyllum agaricoides (Czern.) Vellinga,[Endoptychum agaricoides Czern.; Secotium agaricoides (Czern.) Hollós],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Chrysosplenium alternifolium,Chrysosplenium alternifolium  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cicendia filiformis,Cicendia filiformis  (L.) Delarbre,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cistus halimifolius,Cistus halimifolius  L.,[Halimium halimifolium  (L.) Willk. subsp. halimifolium],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cistus ladanifer subsp. ladanifer,Cistus ladanifer  L. subsp. ladanifer,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Gavarres| serra de Collserola,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cistus populifolius subsp. populifolius,Cistus populifolius  L. subsp. populifolius,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,Muntanyes de Prades,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Cladonia subgenus Cladina,Cladonia L. subgenus Cladina (Nyl.) Vain,No aplica,"Annex V, gestió de l'aprofitament",No inclosa,No inclosa,No aplica,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Cladonia mediterranea,Cladonia mediterranea P. A. Duvign. & Abbayes,Sinònims: Cladina mediterranea (P. A. Duvign. & Abbayes) Follmann & Hern.-Padr.],No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cneorum tricoccon,Cneorum tricoccon  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Cochlearia pyrenaica,Cochlearia pyrenaica  DC.,[C. officinalis  L. subsp. pyrenaica  (DC.) Rouy & Foucaud],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Coeloglossum viride,Coeloglossum viride  (L.) Hartm.,"[Dactylorhiza viridis  (L.) R.M. Bateman, Pridgeon & M.W. Chase]",No inclosa,No inclosa,No inclosa,No aplica,Massís del Montseny,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Conardia compacta,Conardia compacta (Müll.Hal.) H.Rob.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Convallaria majalis,Convallaria majalis L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serra d'Aubenç,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Convolvulus siculus subsp. siculus,Convolvulus siculus  L. subsp. siculus,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Convolvulus soldanella,Convolvulus soldanella  L.,[Calystegia soldanella  (L.) R. Br.],No inclosa,No inclosa,No inclosa,No aplica,Aiguamolls de l'Alt Empordà,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Corallorhiza trifida,Corallorhiza trifida  Châtel.,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Cortinarius caperatus,Cortinarius caperatus (Pers.) Fr.,[Agaricus caperatus Pers.; Dryophila caperata (Pers.) Quél.; Pholiota caperata (Pers.) Gillet; Rozites caperatus (Pers.) P. Karst.; Togaria caperata (Pers.) W.G. Sm.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
